name	category	category_code	lat	lon	address
Dance & Be Free	Dance Studio	18025	20.655639	-103.295526	
Crossfit 22	Gym and Studio	18021	20.65028	-103.287256	44824 Guadalajara, Jalisco
Jm Sport	Gym and Studio	18021	20.648067	-103.287864	44824 Guadalajara, Jalisco
Padma	Yoga Studio	18028	20.647478	-103.2879	Cipriano Campos Alatorre 945 (Historiadores), 44860 Guadalajara, Jalisco
Gym	Gym and Studio	18021	20.659884	-103.294323	
Country Sport Gym	Gym and Studio	18021	20.661326	-103.290178	Igantes 3911 (San Francisco), 44810 Guadalajara, Jalisco
Fitness & Nutrition Center	Gym and Studio	18021	20.661105	-103.28876	Gigantes 3468 (C. Ruben Rodriguez y C. Demostenes), Guadalajara, Jalisco
Iron Crossfit	Gym and Studio	18021	20.662499	-103.288233	Guadalajara, Jalisco
Vera's Gym	Gym and Studio	18021	20.670187	-103.290959	Jalisco
WT White Fitness Center	Gym and Studio	18021	20.672705	-103.293095	Esmirna 722 (e/ Pablo Valdez y Esteban Alatorre), 44750 Guadalajara, Jalisco
Sport Gym Elite	Gym and Studio	18021	20.665288	-103.287058	
Gym pegaso's	Gym and Studio	18021	20.680766	-103.290935	Rancho alegre, 44720 Guadalajara, Jalisco
IKAL Dance Company	Country Dance Club	10012	20.6794	-103.287408	Avenida José María Iglesias 3317 (Demostenes), 44724 Guadalajara, Jalisco
Gym	Gym and Studio	18021	20.680766	-103.290935	Guadalajara, Jalisco
Fitness Perfect World	Gym and Studio	18021	20.690668	-103.294418	Guadalajara, Jalisco
Fitness evolution	Gym and Studio	18021	20.693554	-103.289062	Juan Pablo II 2216 (Hacienda Mochitiltic y Hacienda La Quemada), 44700 Guadalajara, Jalisco
Hemi Fitness Gym	Gym and Studio	18021	20.699333	-103.292573	Calzada Juan Pablo II 2805A (Hacienda Del Carmen), 44700 Guadalajara, Jalisco
Cronos Crossfit	Climbing Gym	18023	20.701952	-103.295421	Avenida Artesanos 2451, 44700 Guadalajara, Jalisco
Fitness Concept Gym	Gym and Studio	18021	20.705573	-103.290911	Jalisco
Centro Cultural Yoga Devanand	Yoga Studio	18028	20.702539	-103.288558	Lerdo de Tejada 2484 (Lope De Vega Y Calderón de la Barca), 44700 Guadalajara, Jalisco
Smartfit Tonala	Gym and Studio	18021	20.640954	-103.278992	Avenida río nilo, 45403 Tonalá, Jalisco
Super Fitness	Gym and Studio	18021	20.638511	-103.282475	Guadalajara, Jalisco
HiperFitness	Gym and Studio	18021	20.638441	-103.282482	Jalisco
Curves Río Nilo	Gym and Studio	18021	20.644452	-103.284405	Avenida Rio Nilo 3645, 44823 Guadalajara, Jalisco
