name	category	category_code	lat	lon	address
Oficina de Juanon	College Administrative Building	12015	20.723533	-103.423849	Zapopan, Jalisco
4B	Student Center	12047	20.723396	-103.423919	Zapopan, Jalisco
Salon de Computo CSJ	College Auditorium	12017	20.723193	-103.42406	Zapopan, Jalisco
J.N. 120	Preschool	12056	20.72716	-103.424817	Girasoles. Santa Margarita, Zapopan, Jalisco
Cumbres San Javier Primaria	Elementary School	12058	20.723325	-103.424016	Zapopan, Jalisco
1A	College Classroom	12022	20.723347	-103.423863	Zapopan, Jalisco
La entrada CSJ	College Auditorium	12017	20.722704	-103.424366	Zapopan, Jalisco
Oficina de Juanon	College Administrative Building	12015	20.723374	-103.423804	Zapopan, Jalisco
1ro “B” CSJ	College Classroom	12022	20.723327	-103.423817	Zapopan, Jalisco
Asesorias Con Pala	College Classroom	12022	20.723306	-103.423755	Zapopan, Jalisco
Jardin de Niños Travesuras	Nursery School	12055	20.727318	-103.429326	Zapopan, Jalisco
Escuela Reforma de 1857	College Academic Building	12014	20.726118	-103.422183	Santa Clara 493, Zapopan, Jalisco
English One on One	Language School	12053	20.728287	-103.429636	Jose Jesus Huerta 802 (Central), 45136 Zapopan, Jalisco
Gym	College Gym	12027	20.721946	-103.420458	Club Puerta de Hierro, Zapopan, Jalisco
Escuela de Musica Jazzin	Jazz and Blues Venue	10040	20.72706	-103.420219	Avenida Acueducto 515, Zapopan, Jalisco
Instituto Thomas Jefferson	Education	12009	20.73501	-103.425904	Prolongación Avenida Jesús 3451 (Av. Real Acueducto), 45130 Zapopan, Jalisco
Preescolar Miguel Hidalgo y Costilla	Education	12009	20.736129	-103.425015	Zapopan, Jalisco
Secundaria Mixta 42	High School	12059	20.736185	-103.424425	Avenida Acueducto 640 (Jesus), 45138 Zapopan, Jalisco
Greenlands SChool SC	College and University	12013	20.73879	-103.424556	Avenida Acueducto 5056, 45118 Guadalajara, Jalisco
Kinder Galileo Galilei	College and University	12013	20.739086	-103.422193	Zapopan, Jalisco
Instituto Thomas Jefferson Campus Valle Real	Education	12009	20.734832	-103.426491	Avenida Prolongación Jesús, 3451, Zapopan, Jalisco
Principio de EnseÑanza A.c.	Education	12009	20.734392	-103.423501	Acueducto 1210, 45130 Zapopan, Jalisco
Residencias Externas ITESM	College Residence Hall	12035	20.741093	-103.42656	Zapopan, Jalisco
Escuela Secundaria Mixta Num 42	Education	12009	20.744708	-103.425784	Avenida Acueducto s/n, 45138 Guadalajara, Jalisco
Ingles del Valle	Education	12009	20.744898	-103.42596	Avenida del Valle (Acueducto), Zapopan, Jalisco
Guarderia Sagrado Corazon de Jesus	Nursery School	12055	20.741179	-103.423346	Federalistas 2123, 45138 Zapopan, Jalisco
Ivei - Italiano	Student Center	12047	20.74613	-103.429391	Santa Margarita, Zapopan, Jalisco
Centro Educativo John Dewey	Private School	12061	20.743161	-103.419271	Zapopan, Jalisco
Escuela Secundario Num 28 Mixta	College and University	12013	20.748344	-103.429508	6 de Enero s/n, 45138 Guadalajara, Jalisco
ITEA Colegio del Pedregal Campus Zapopan	College Academic Building	12014	20.753541	-103.427501	45138 Zapopan, Jalisco
ITEA - Instituto Tecnológico de Educación Avanzada	College Academic Building	12014	20.753786	-103.427396	Avenida Juan Gil Preciado 2451, 45138 Zapopan, Jalisco
ITEA Colegio del Pedregal	Middle School	12060	20.753822	-103.427927	Zapopan, Jalisco
ITEA campus zapopan	Education	12009	20.753234	-103.427597	Avenida Juan Gil Preciado, Zapopan, Jalisco
Gyma	College Gym	12027	20.751451	-103.41976	Zapopan, Jalisco
Des y Comer el Martel	Computer Training School	12049	20.753077	-103.423981	Juan Gil Preciado 4771, 45138 Guadalajara, Jalisco
Itea	College and University	12013	20.751837	-103.422548	Avenida Juan Gil Preciado 2451, 45138 Zapopan, Jalisco
Colegio de Enseñanza Froebel	Student Center	12047	20.76139	-103.427047	Zapopan, Jalisco
Vela Estrada Martha Celia	Education	12009	20.761431	-103.427175	Avenida Guadalajara 1980, 45130 Guadalajara, Jalisco
Colegio del Aire Sub Dir	College and University	12013	20.75918	-103.422338	A Base Aerea Militar 5 s/n, 45138 Guadalajara, Jalisco
Secretaría Escolar HAL	College Administrative Building	12015	20.765535	-103.421188	Zapopan, Jalisco
Colegio Tercer Milenio	College and University	12013	20.770852	-103.419364	Prl Belenes 1260, 45190 Zapopan, Jalisco
Nueva Creación T/V	Elementary School	12058	20.837108	-103.425059	Jalisco
Secundaria Mixta No. 78 Gerardo Murillo Dr. Atl	Student Center	12047	20.847193	-103.42359	Jalisco
Centro Educativo Real Ingles	Elementary School	12058	20.59216	-103.413005	Camino Real a Colima 950
Campo de Adiestramiento CFE	Student Center	12047	20.600882	-103.418526	Bahía de Acapulco 2760 (Av. Agrícola), Tlaquepaque, Jalisco
Sala de Lectura	College Library	12031	20.602507	-103.415075	Biblioteca, Tlaquepaque, Jalisco
Sala de Proyecciones	College Library	12031	20.602547	-103.415136	Tlaquepaque, Jalisco
Gen Consultores	Education	12009	20.600519	-103.412617	Avenida primavera, 45069 Tlaquepaque, Jalisco
Huerto Agroecologico ITESO	College Classroom	12022	20.60485	-103.41821	Tlaquepaque, Jalisco
Centro de Diversiones de Occidente	College Library	12031	20.604618	-103.416032	Tlaquepaque, Jalisco
Cafeína Lab	Education	12009	20.599085	-103.416062	Avenida Agrícola, Tlaquepaque, 45609, 45609 Tlaquepaque, Jalisco
Rosales Rosas Diana Guadalupe	Preschool	12056	20.598659	-103.412154	Bahia Santiago 906, 45609 Tlaquepaque, Jalisco
Domo Deportivo	College Gym	12027	20.606871	-103.413606	Tlaquepaque, Jalisco
Cafetería Pedro Arrupe	College Cafeteria	12021	20.608086	-103.414327	Tlaquepaque, Jalisco
laboratorio de Sistemas de Información y Bases de Datos	College Lab	12030	20.607436	-103.417501	Tlaquepaque, Jalisco
T-105	College Classroom	12022	20.607951	-103.417693	Tlaquepaque, Jalisco
Cjuven	College Academic Building	12014	20.606558	-103.417728	Tlaquepaque, Jalisco
T-104	College Classroom	12022	20.608002	-103.417607	Tlaquepaque, Jalisco
Laboratorio de hidráulica	College Lab	12030	20.60723	-103.417192	Tlaquepaque, Jalisco
Laboratorio de electrónica	College Lab	12030	20.608001	-103.417469	Edificio T (ITESO), Tlaquepaque, Jalisco
Escuela de Enfermeria	Medical School	12045	20.607185	-103.417007	Tlaquepaque, Jalisco
Edificio T	College Technology Building	12039	20.608001	-103.417121	Tlaquepaque, Jalisco
Papicueva	College Lab	12030	20.607963	-103.417513	Tlaquepaque, Jalisco
